"HeronIsland.Salinity.practical.salinity.units." "HeronIsland.Water.Temperature.degrees.celsius." "HeronIsland.Water.Pressure.decibar." "LadyMusgrave.Water.Temperature..degrees.celsius."
"203" 35.6334 21.7371 5.5638 22.2878
"204" 35.7624 21.6735 5.7524 21.9508
"205" 35.5178 22.2767 5.6753 23.035
"206" 35.7099 26.0745 5.4767 25.7594
"207" 35.701 22.6803 5.4357 22.7051
"208" 35.7465 27.5496 5.7111 27.4388
"209" 35.9356 27.3844 5.6471 27.4962
"210" 35.4989 22.5275 5.7139 23.5386
"211" 35.7332 20.5955 5.596 21.9014
"212" 35.6343 22.1194 5.5733 22.346
"213" 35.4514 24.8111 5.6944 26.4261
"214" 35.858 26.0068 5.585 26.3955
"215" 35.3142 23.9462 5.7715 24.9083
"216" 35.6949 25.9671 5.5721 26.2873
"217" 35.6666 21.4612 5.5362 22.0337
"218" 35.6036 21.8911 5.6373 22.1559
"219" 35.7383 26.1235 5.4763 26.0093
"220" 35.5564 26.1798 5.6964 26.1251
"221" 35.5196 22.875 5.5701 22.5362
"222" 35.7675 27.6911 5.6495 27.9606
"223" 35.1704 23.5467 5.726 25.2183
"224" 35.5641 22.3243 5.5416 22.3763
"225" 35.6118 26.4344 5.6854 26.2515
"226" 35.7017 20.5336 5.5729 21.3873
"227" 35.7007 24.9762 5.5522 26.0399
"228" 35.5557 24.638 5.7875 25.8568
"229" 35.5822 27.0191 5.879 27.4177
"230" 35.326 24.4161 5.7057 24.9842
"231" 35.463 25.5421 5.7261 25.7465
"232" 35.6593 27.1149 5.4632 26.9421
"233" 35.7614 22.5379 5.5126 22.6324
"234" 35.703 20.9234 5.6105 22.1366
"235" 35.7038 20.9654 5.6076 22.4138
"236" 35.4451 22.9132 5.6036 23.4558
"237" 35.5013 22.8424 5.6502 23.5464
"238" 35.4457 25.1385 5.7274 25.681
"239" 35.6109 22.3604 5.5775 22.3954
"240" 35.4239 25.7824 5.7102 25.8828
"241" 35.6425 21.689 5.6538 22.2935
"242" 35.6617 22.1442 5.8471 23.3547
"243" 35.7368 20.4224 5.6023 21.9967
"244" 35.5932 22.572 5.622 23.7523
"245" 35.6217 22.3485 5.5758 22.5708
"246" 35.6974 22.0809 5.4885 21.974
"247" 35.444 26.0263 5.8271 26.3064
"248" 35.8687 28.0775 5.5145 28.1243
"249" 35.7624 26.3775 5.6363 26.3708
"250" 35.438 27.0963 5.8009 27.5417
