HeronIsland-Salinity(practical salinity units),HeronIsland-Water Temperature(degrees celsius),HeronIsland-Water Pressure(decibar),LadyMusgrave-Water Temperature (degrees celsius)
35.6757,21.1835,5.6058,22.4017
35.7038,20.9654,5.6076,22.4138
35.7028,20.8434,5.6211,22.3062
35.6761,21.0016,5.6466,22.08
35.7368,20.4224,5.6023,21.9967
35.721,20.7964,5.5232,21.9018
35.6646,21.5253,5.5145,22.1775
35.6719,21.6506,5.5377,22.4378
35.6784,21.5936,5.5746,22.4187
35.6836,21.3619,5.6065,22.2697
35.6882,21.286,5.6032,22.243
35.703,20.9234,5.6105,22.1366
35.7332,20.5955,5.596,21.9014
35.6667,21.4084,5.558,22.3161
35.6666,21.4612,5.5362,22.0337
35.6205,21.8978,5.6206,22.2052
35.6081,21.9,5.67,22.2006
35.6068,21.9179,5.6495,22.2182
35.6034,21.8301,5.6617,22.2165
35.5952,21.8941,5.6946,22.264
35.5851,21.9179,5.7398,22.2715
35.5776,21.7421,5.7707,22.0993
35.5664,21.3002,5.7636,22.0311
35.5092,21.0241,5.8033,21.9244
35.3432,20.9239,5.8368,21.7364
35.6861,20.6964,5.7991,21.3833
35.7982,20.6039,5.7592,21.2016
35.7109,22.2386,5.7481,21.2298
35.6738,22.4198,5.751,21.2423
35.7,22.0437,5.7696,21.4876
35.7319,21.5457,5.7555,21.7005
35.7293,21.4521,5.7016,21.3747
35.7165,21.7659,5.691,21.429
35.7398,21.3835,5.6873,21.4118
35.6956,21.8524,5.6665,21.7517
35.6844,22.2063,5.674,22.1205
35.7327,22.1063,5.6929,22.1625
35.7624,21.6735,5.7524,21.9508
35.7622,21.6689,5.8021,21.7516
35.7201,22.4084,5.834,22.2344
35.7505,21.8009,5.8193,22.253
35.7701,20.9734,5.7946,22.0423
35.7301,21.0867,5.7568,21.9019
35.6862,22.2015,5.7012,22.5589
35.7222,21.5021,5.6913,22.5556
35.6947,21.7369,5.6812,22.1785
35.6093,22.4975,5.6765,22.923
35.5775,22.4708,5.6587,22.989
35.5679,22.3584,5.6589,23.0032
35.5178,22.2767,5.6753,23.035
35.3444,22.4047,5.6965,23.1071
35.507,22.8429,5.7555,23.2782
35.586,22.8204,5.7994,23.2807
35.5592,22.5421,5.8415,23.2692
35.6617,22.1442,5.8471,23.3547
35.6651,22.2112,5.8537,23.4631
35.6442,22.3728,5.8537,23.4726
35.6316,22.4452,5.8477,23.2421
35.6529,22.5319,5.7659,23.1527
35.6561,25.0588,5.8656,24.6688
35.6683,25.0024,5.8435,24.2406
35.6904,24.6335,5.8111,24.6248
35.6815,24.5511,5.7734,24.906
35.6498,24.574,5.7598,24.9139
35.6269,24.2481,5.7263,24.9497
35.5988,24.818,5.67,24.9481
35.5451,25.7483,5.6491,25.0551
35.5459,25.7053,5.653,25.213
35.5492,25.1562,5.6864,25.2414
35.5285,24.9934,5.7027,25.4204
35.5103,25.0981,5.7196,25.5031
35.4457,25.1385,5.7274,25.681
35.463,25.5421,5.7261,25.7465
35.4593,25.9048,5.6939,25.8188
35.4564,25.8651,5.6791,25.7927
35.4589,25.7923,5.685,25.7764
35.4586,25.5949,5.7094,25.5748
35.4476,25.403,5.7556,25.5055
35.4191,25.3163,5.8199,25.6798
35.3892,25.1571,5.8574,25.9126
35.4216,24.8265,5.8474,25.6495
35.5557,24.638,5.7875,25.8568
35.5663,25.2405,5.7254,26.1074
35.4998,25.8375,5.6954,26.2031
35.526,25.8172,5.7202,26.1426
35.5273,25.7652,5.7629,26.183
35.4862,25.9154,5.7959,26.187
35.4534,26.0436,5.8124,26.2404
35.444,26.0263,5.8271,26.3064
35.4266,26.0236,5.8655,26.4841
35.4298,25.6055,5.8999,26.4571
35.4759,25.8027,5.9044,26.6682
35.4542,26.0233,5.8853,26.8546
35.4711,26.3905,5.8412,26.983
35.4404,26.693,5.8125,27.1001
35.4406,26.7861,5.7985,27.1411
35.4472,26.7081,5.8194,27.2108
35.4908,26.6356,5.8522,27.2727
35.5012,26.6381,5.8857,27.2975
