"HeronIsland.Salinity.practical.salinity.units." "HeronIsland.Water.Temperature.degrees.celsius." "HeronIsland.Water.Pressure.decibar." "LadyMusgrave.Water.Temperature..degrees.celsius."
"209" 35.8853 27.5589 5.5576 27.5911
"210" 35.6597 26.3933 5.6282 26.4283
"211" 35.7165 21.7659 5.691 21.429
"212" 35.326 24.4161 5.7057 24.9842
"213" 35.5284 22.8833 5.6356 22.3876
"214" 35.7675 27.6911 5.6495 27.9606
"215" 35.7263 27.1674 5.5833 27.1229
"216" 35.6442 22.3728 5.8537 23.4726
"217" 35.4451 22.9132 5.6036 23.4558
"218" 35.7063 26.2153 5.7367 26.204
"219" 35.5279 22.9497 5.5662 23.3455
"220" 35.7905 22.6352 5.5182 22.7744
"221" 35.5473 22.8894 5.5605 23.3064
"222" 35.6036 21.8911 5.6373 22.1559
"223" 35.4472 26.7081 5.8194 27.2108
"224" 35.4289 27.2654 5.8141 27.2222
"225" 35.5225 22.9876 5.6632 22.8546
"226" 35.8034 23.9498 5.5138 24.7042
"227" 35.721 20.7964 5.5232 21.9018
"228" 35.4379 23.3271 5.6121 23.3453
"229" 35.7201 22.4084 5.834 22.2344
"230" 35.8383 22.5889 5.6389 23.159
"231" 35.6756 26.398 5.6306 26.4586
"232" 35.5641 22.3243 5.5416 22.3763
"233" 35.6639 25.1628 5.5092 24.9873
"234" 35.9356 27.3844 5.6471 27.4962
"235" 35.4404 26.693 5.8125 27.1001
"236" 35.5323 22.6648 5.5835 22.845
"237" 35.696 22.2506 5.5007 22.1413
"238" 35.6946 25.2329 5.4561 25.0794
"239" 35.7624 21.6735 5.7524 21.9508
"240" 35.6712 22.8738 5.4618 22.2906
"241" 35.8846 26.3718 5.7746 27.3226
"242" 35.3858 27.2227 5.7598 27.3736
"243" 35.6209 22.2601 5.5599 22.3801
"244" 35.7337 25.8722 5.4529 25.7895
"245" 35.6441 26.9398 5.8012 27.5397
"246" 35.6407 22.0626 5.4888 21.908
"247" 35.621 27.1905 5.8086 27.3713
"248" 35.4066 27.5067 5.8492 27.5976
"249" 35.7752 22.6436 5.5288 23.2077
"250" 35.6666 21.4612 5.5362 22.0337
